key,num_guesses
3112,5
3113,4
3114,4
3115,5
3116,5
3121,5
3122,6
3123,4
3124,3
3125,5
3126,4
3131,5
3132,5
3133,5
3134,5
3135,6
3136,6
3141,3
3142,5
3143,5
3144,5
3145,2
3146,4
3151,5
3152,4
3153,5
3154,4
3155,6
3156,5
3161,5
3162,5
3163,5
3164,3
3165,5
3166,5
3211,4
3212,4
3213,4
3214,3
3215,5
3216,3
3221,5
3222,6
3223,6
3224,4
3225,5
3226,4
3231,5
3232,5
3233,6
3234,4
3235,4
3236,5
3241,4
3242,4
3243,5
3244,4
3245,4
3246,4
3251,5
3252,5
3253,5
3254,5
3255,4
3256,4
3261,4
3262,5
3263,5
3264,4
3265,4
3266,5
3311,5
3312,4
3313,5
3314,5
3315,5
3316,5
3321,4
3322,5
3323,5
3324,4
3325,6
3326,3
3331,4
3332,5
3333,3
3334,4
3335,5
3336,5
3341,5
3342,4
3343,5
3344,5
3345,5
3346,4
3351,4
3352,4
3353,5
3354,6
3355,4
3356,4
3361,3
3362,6
3363,4
3364,4
3365,5
3366,4
3411,5
3412,6
3413,4
3414,5
3415,4
3416,5
3421,2
3422,5
3423,4
3424,5
3425,4
3426,5
3431,5
3432,5
3433,5
3434,4
3435,4
3436,5
3441,5
3442,5
3443,5
3444,5
3445,5
3446,5
3451,4
3452,4
3453,5
3454,4
3455,5
3456,4
3461,4
3462,5
3463,5
3464,5
3465,4
3466,5
3511,4
3512,5
3513,4
3514,3
3515,5
3516,5
3521,4
3522,5
3523,5
3524,5
3525,4
3526,3
3531,5
3532,5
3533,4
3534,4
3535,4
3536,5
3541,3
3542,4
3543,6
3544,4
3545,6
3546,4
3551,5
3552,5
3553,5
3554,5
3555,4
3556,4
3561,5
3562,4
3563,4
3564,5
3565,4
3566,4
3611,5
3612,5
3613,5
3614,4
3615,5
3616,5
3621,5
3622,5
3623,4
3624,4
3625,4
3626,5
3631,5
3632,5
3633,4
3634,4
3635,4
3636,5
3641,4
3642,3
3643,6
3644,5
3645,5
3646,5
3651,5
3652,5
3653,3
3654,4
3655,4
3656,5
3661,5
3662,5
3663,5
3664,4
3665,4
3666,4
4111,5
4112,4
4113,4
4114,5
4115,5
4116,6
4121,5
4122,5
4123,4
4124,5
4125,3
4126,4
4131,5
4132,4
4133,5
4134,4
4135,4
4136,4
4141,5
4142,4
4143,4
4144,4
4145,3
4146,5
4151,5
4152,5
4153,4
4154,5
4155,5
4156,5
4161,5
4162,4
4163,4
4164,4
4165,5
4166,4
4211,4
4212,5
4213,2
4214,5
4215,6
4216,3
4221,4
4222,5
4223,4
4224,5
4225,4
4226,4
4231,4
4232,5
4233,4
4234,4
4235,5
4236,3
4241,4
4242,5
4243,4
4244,5
4245,5
4246,4
4251,5
4252,4
4253,4
4254,3
4255,5
4256,3
4261,5
4262,5
4263,4
4264,4
4265,4
4266,4
4311,4
4312,5
4313,5
4314,6
4315,3
4316,2
4321,5
4322,5
4323,5
4324,4
4325,4
4326,5
4331,5
4332,5
4333,4
4334,5
4335,5
4336,5
4341,5
4342,5
4343,4
4344,4
4345,5
4346,4
4351,5
4352,4
4353,4
4354,4
4355,6
4356,4
4361,4
4362,5
4363,5
4364,5
4365,5
4366,5
4411,5
4412,5
4413,5
4414,5
4415,5
4416,5
4421,5
4422,4
4423,5
4424,6
4425,5
4426,6
4431,4
4432,5
4433,4
4434,5
4435,4
4436,6
4441,3
4442,4
4443,5
4444,5
4445,5
4446,4
4451,5
4452,5
4453,5
4454,4
4455,5
4456,5
4461,5
4462,6
4463,5
4464,5
4465,4
4466,5
4511,5
4512,4
4513,5
4514,5
4515,5
4516,4
4521,4
4522,5
4523,4
4524,4
4525,4
4526,5
4531,4
4532,3
4533,5
4534,3
4535,3
4536,4
4541,4
4542,5
4543,6
4544,4
4545,4
4546,4
4551,5
4552,4
4553,5
4554,4
4555,5
4556,4
4561,5
4562,4
4563,3
4564,4
4565,5
4566,4
4611,5
4612,3
4613,4
4614,4
4615,5
4616,4
4621,5
4622,5
4623,5
4624,5
4625,4
4626,4
4631,5
4632,5
4633,5
4634,5
4635,5
4636,5
4641,4
4642,5
4643,4
4644,5
4645,5
4646,5
4651,5
4652,5
4653,5
4654,3
4655,4
4656,4
4661,4
4662,6
4663,5
4664,5
4665,3
4666,4
5111,4
5112,5
5113,5
5114,4
5115,5
5116,5
5121,4
5122,5
5123,3
5124,4
5125,5
5126,5
5131,5
5132,4
5133,4
5134,5
5135,5
5136,6
5141,5
5142,4
5143,4
5144,4
5145,4
5146,5
5151,4
5152,4
5153,5
5154,5
5155,5
5156,4
5161,4
5162,5
5163,4
5164,5
5165,5
5166,5
5211,5
5212,6
5213,5
5214,4
5215,4
5216,5
5221,5
5222,4
5223,4
5224,4
5225,5
5226,5
5231,5
5232,4
5233,5
5234,5
5235,5
5236,4
5241,4
5242,5
5243,4
5244,3
5245,4
5246,4
5251,5
5252,4
5253,5
5254,5
5255,5
5256,4
5261,5
5262,5
5263,5
5264,2
5265,5
5266,4
5311,6
5312,3
5313,4
5314,4
5315,5
5316,4
5321,5
5322,5
5323,6
5324,4
5325,5
5326,4
5331,5
5332,4
5333,5
5334,5
5335,4
5336,4
5341,6
5342,5
5343,4
5344,5
5345,5
5346,4
5351,4
5352,5
5353,5
5354,5
5355,5
5356,4
5361,5
5362,4
5363,5
5364,3
5365,3
5366,5
5411,6
5412,4
5413,5
5414,3
5415,5
5416,5
5421,5
5422,5
5423,4
5424,4
5425,5
5426,4
5431,3
5432,5
5433,6
5434,5
5435,4
5436,4
5441,5
5442,4
5443,4
5444,5
5445,4
5446,3
5451,4
5452,5
5453,5
5454,4
5455,5
5456,4
5461,6
5462,5
5463,4
5464,5
5465,4
5466,2
5511,4
5512,5
5513,4
5514,4
5515,5
5516,4
5521,4
5522,4
5523,4
5524,4
5525,3
5526,4
5531,5
5532,5
5533,5
5534,4
5535,5
5536,4
5541,5
5542,5
5543,5
5544,4
5545,5
5546,5
5551,4
5552,4
5553,5
5554,4
5555,4
5556,3
5561,5
5562,3
5563,4
5564,3
5565,2
5566,4
5611,4
5612,5
5613,5
5614,3
5615,4
5616,3
5621,5
5622,5
5623,4
5624,3
5625,5
5626,4
5631,5
5632,5
5633,4
5634,5
5635,3
5636,4
5641,5
5642,5
5643,5
5644,4
5645,4
5646,4
5651,4
5652,5
5653,4
5654,4
5655,4
5656,4
5661,5
5662,4
5663,3
5664,4
5665,5
5666,5
6111,5
6112,5
6113,4
6114,4
6115,4
6116,3
6121,5
6122,5
6123,5
6124,4
6125,5
6126,5
6131,5
6132,4
6133,5
6134,5
6135,5
6136,5
6141,5
6142,4
6143,5
6144,6
6145,5
6146,4
6151,5
6152,5
6153,5
6154,4
6155,5
6156,3
6161,5
6162,4
6163,5
6164,4
6165,4
6166,5
6211,5
6212,5
6213,4
6214,4
6215,4
6216,5
6221,4
6222,5
6223,5
6224,4
6225,4
6226,5
6231,5
6232,5
6233,3
6234,4
6235,2
6236,4
6241,4
6242,4
6243,5
6244,4
6245,5
6246,5
6251,4
6252,5
6253,5
6254,4
6255,5
6256,4
6261,5
6262,4
6263,5
6264,4
6265,5
6266,5
6311,5
6312,4
6313,5
6314,2
6315,5
6316,4
6321,5
6322,5
6323,4
6324,4
6325,4
6326,5
6331,4
6332,4
6333,4
6334,5
6335,5
6336,5
6341,4
6342,5
6343,5
6344,4
6345,4
6346,5
6351,5
6352,5
6353,4
6354,5
6355,4
6356,5
6361,4
6362,5
6363,4
6364,6
6365,4
6366,4
6411,6
6412,4
6413,5
6414,5
6415,5
6416,5
6421,5
6422,5
6423,4
6424,5
6425,4
6426,4
6431,4
6432,4
6433,5
6434,5
6435,4
6436,4
6441,4
6442,4
6443,6
6444,4
6445,5
6446,4
6451,5
6452,5
6453,5
6454,4
6455,5
6456,4
6461,4
6462,4
6463,5
6464,4
6465,3
6466,5
6511,5
6512,5
6513,5
6514,2
6515,4
6516,5
6521,5
6522,5
6523,3
6524,4
6525,5
6526,4
6531,4
6532,3
6533,4
6534,3
6535,4
6536,5
6541,5
6542,4
6543,5
6544,3
6545,4
6546,4
6551,4
6552,6
6553,4
6554,2
6555,5
6556,3
6561,4
6562,5
6563,4
6564,4
6565,3
6566,4
6611,4
6612,5
6613,5
6614,4
6615,4
6616,4
6621,5
6622,4
6623,6
6624,5
6625,4
6626,5
6631,4
6632,4
6633,5
6634,5
6635,4
6636,4
6641,5
6642,3
6643,5
6644,3
6645,3
6646,5
6651,4
6652,3
6653,5
6654,5
6655,5
6656,3
6661,5
6662,4
6663,4
6664,5
6665,3
6666,3
